Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Xero","8008230018972","Acca Kappa White Moss Diffuser 250ml","WNL","1-B-2","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230018972","Acca Kappa White Moss Diffuser 250ml","WNL","5-F-4","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230403181","Acca Kappa White Moss Diffuser Refill 500ml","WNL","3-D-1","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230403181","Acca Kappa White Moss Diffuser Refill 500ml","WNL","5-F-4","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230403181","Acca Kappa White Moss Diffuser Refill 500ml","WNL","PL18","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230801253","ACCA KAPPA WHITE MOSS EDC 30ML","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230801253","ACCA KAPPA WHITE MOSS EDC 30ML","WNL","5-A-3","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230801253","ACCA KAPPA WHITE MOSS EDC 30ML","WNL","A7","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230801253","ACCA KAPPA WHITE MOSS EDC 30ML","WNL","WALL-H-2","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800799","ACCA KAPPA WHITE MOSS EDC 50ML","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800799","ACCA KAPPA WHITE MOSS EDC 50ML","WNL","A7","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800799","ACCA KAPPA WHITE MOSS EDC 50ML","WNL","WALL-G-4","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230812075","Acca Kappa White Moss EDP 100 ml","WNL","","",,"",1979.7800,55.0000,0.0000,55.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230812075","Acca Kappa White Moss EDP 100 ml","WNL","PL18","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230812075","Acca Kappa White Moss EDP 100 ml","WNL","WALL-K-4","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230801208","ACCA KAPPA WHITE MOSS HAND CREAM 75ML","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230801208","ACCA KAPPA WHITE MOSS HAND CREAM 75ML","WNL","5-J-6","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230809181","ACCA KAPPA WHITE MOSS HAND WASH 300ML","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230809181","ACCA KAPPA WHITE MOSS HAND WASH 300ML","WNL","5-J-6","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230008898","Acca Kappa White Moss Set EDC 50ml + Shower Gel 100ml + Body Lotion 100ml Hand Cream 75ml","WNL","PL18","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230403525","ACCA KAPPA WHITE MOSS SET SHOWER GEL 500ML + BODY LOTION 300ML","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
