store,websites,attribute_set,type,sku,name,qty,sku_type
admin,base,Fragrance,simple,3770004394814,"Liquides Imaginaires Dom Rosa Eau de Parfum 7.5ml Travel Spray",5.0000,
admin,base,Fragrance,simple,7612017467495,"Ensar Oud Oud Yusuf 1ml",0.0000,
admin,base,Fragrance,simple,7612017171921,"Ensar Oud Iris Ghalia 1ml",1.0000,
admin,base,Fragrance,simple,7612017242337,"Ensar Oud Kyara Koko 1ml",1.0000,
admin,base,Fragrance,simple,7612017162239,"Ensar Oud Black Changho 1ml",1.0000,
admin,base,Fragrance,simple,7612017161294,"Ensar Oud Blue Kalbar 1ml",1.0000,
admin,base,Fragrance,simple,7612017369386,"Ensar Oud Crime & Punishment 1ml",1.0000,
admin,base,Fragrance,simple,7612018031337,"Ensar Oud EO 1: Assam 1ml",1.0000,
admin,base,Fragrance,simple,7612018011735,"Ensar Oud Santal Sultan 1ml",1.0000,
admin,base,Fragrance,simple,7612018031238,"Ensar Oud Tibetan Musk 1ml",1.0000,
admin,base,Fragrance,simple,7612018011827,"Ensar Oud EO 2: Kashmir 1ml",0.0000,
admin,base,Fragrance,simple,7612017267484,"Ensar Oud Jungle kinam 1ml",0.0000,
admin,base,Fragrance,simple,7612017267439,"Ensar Oud Sultan Red Rose 1ml",1.0000,
admin,base,Fragrance,simple,7612017162227,"Ensar Oud Black Changho Parfum 30ml",1.0000,
admin,base,Fragrance,simple,7612017161183,"Ensar Oud Blue Kalbar Parfum 30ml",3.0000,
admin,base,Fragrance,simple,7612017369275,"Ensar Oud Crime & Punishment Parfum 30ml",4.0000,
admin,base,Fragrance,simple,7612018031226,"Ensar Oud EO 1: Assam Parfum 30ml",3.0000,
admin,base,Fragrance,simple,7612018011716,"Ensar Oud EO 2: Kashmir Parfum 30ml",5.0000,
admin,base,Fragrance,simple,7612017171810,"Ensar Oud Iris Ghalia Parfum 30ml",3.0000,
admin,base,Fragrance,simple,7612017267373,"Ensar Oud Jungle Kinam Parfum 30ml",4.0000,
admin,base,Fragrance,simple,7612017242226,"Ensar Oud Kyara Koko Parfum 30ml",3.0000,
admin,base,Fragrance,simple,7612018031127,"Ensar Oud Musk Yusuf Parfum 30ml",1.0000,
admin,base,Fragrance,simple,7612017467384,"Ensar Oud Oud Yusuf Parfum 30ml",0.0000,
admin,base,Fragrance,simple,7612018011624,"Ensar Oud Santal Sultan Parfum 30ml",1.0000,
admin,base,Fragrance,simple,7612017462129,"Ensar Oud Turkish Rose Attar 2.5g",5.0000,
admin,base,Fragrance,simple,7612017462136,"Ensar Oud Rose de Mai Attar 2.5g",3.0000,
admin,base,Fragrance,simple,7612017461505,"Ensar Oud Royal Ta' ifi Attar 2.5g",1.0000,
admin,base,Fragrance,simple,3760265192526,"Mancera Red Tobacco Eau de Parfum 120ml (Tester)",0.0000,
admin,base,Default,simple,3710514215624,"Free samples",10.0000,
